facility_ID,subtype_code,lat,lon,OGI_required_surveys,truck_required_surveys,aircraft_required_surveys,OGI_time,aircraft_time,truck_time,OGI_FU_time,total_emissions_kg,active_leaks,repaired_leaks,currently_flagged,flagged_by,date_flagged,lat_index,lon_index,OGI_t_since_last_LDAR,OGI_surveys_conducted,attempted_today_OGI?,surveys_done_this_year_OGI,OGI_missed_leaks,initial_leaks,cum_frac_sites,cum_frac_emissions
ABRAND00749,601,53.07,-114.69,1,4,2,120,5,30,120,31899.693688329597,0,14,False,,,14,11,56,6,False,1,0,3,0.3226452905811623,0.7642155299763517
ABRAND00864,351,53.07,-114.33,1,4,2,120,5,30,120,23067.837672825597,0,15,False,,,14,11,56,6,False,1,0,3,0.3246492985971944,0.7655432963783085
ABRAND00746,621,52.76,-114.7,1,4,2,120,5,30,120,3059.217702288,0,10,False,,,14,11,56,6,False,1,0,1,0.32665330661322645,0.7668710053266539
ABRAND01009,351,52.73,-113.86,1,4,2,120,5,30,120,13494.9062065248,0,11,False,,,15,12,56,6,False,1,0,0,0.3286573146292585,0.7681944754027061
ABRAND00996,361,52.74,-113.98,1,4,2,120,5,30,120,13831.726381171202,0,16,False,,,15,12,56,6,False,1,0,0,0.3306613226452906,0.7695110915656176
ABRAND01077,601,52.15,-112.13,1,4,2,120,5,30,120,18018.9018259488,0,8,False,,,16,16,56,6,False,1,0,1,0.33266533066132264,0.7708272443218759
ABRAND00753,601,53.22,-114.67,1,4,2,120,5,30,120,225976.70217254406,1,15,False,,,14,11,56,6,False,1,0,0,0.3346693386773547,0.772142922084283
ABRAND00931,351,52.49,-114.19,1,4,2,120,5,30,120,74708.67378729601,0,15,False,,,15,12,56,6,False,1,0,2,0.3366733466933868,0.7734431065959636
ABRAND00973,311,52.73,-114.07,1,4,2,120,5,30,120,9242.4676638816,2,18,False,,,15,12,56,6,False,1,6,2,0.33867735470941884,0.7747354448163996
ABRAND00541,601,52.83,-115.59,1,4,2,120,5,30,120,10116.8583571872,0,15,False,,,14,9,55,6,False,1,1,0,0.3406813627254509,0.7760277346956259
ABRAND00502,311,53.1,-115.71,1,4,2,120,5,30,120,12552.265926864002,1,16,False,,,14,9,55,6,False,1,0,0,0.342685370741483,0.7773185325349935
ABRAND00547,601,52.97,-115.56,1,4,2,120,5,30,120,8475.7210395552,0,8,False,,,14,9,55,6,False,1,0,0,0.34468937875751504,0.7786000336014605
ABRAND00529,311,52.94,-115.61,1,4,2,120,5,30,120,3344.8329654912004,0,9,False,,,14,9,55,6,False,1,0,0,0.3466933867735471,0.7798788790556088
ABRAND00869,311,52.06,-114.33,1,4,2,120,5,30,120,5705.923120272001,3,7,False,,,16,11,55,6,False,1,4,0,0.3486973947895792,0.7811456393506899
ABRAND00762,351,52.19,-114.64,1,4,2,120,5,30,120,22403.6297394912,1,16,False,,,16,11,55,6,False,1,0,0,0.35070140280561124,0.7824088021591256
ABRAND00811,311,52,-114.47,1,4,2,120,5,30,120,5782.336947187201,1,7,False,,,16,11,55,6,False,1,1,0,0.3527054108216433,0.7836702573674916
